uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:bijlageypes,skos:Collection,bijlageypes,,,Collectie van bijlageypes.,,,,,,,,,,,,,cs,bijlagetype,,,,,,
ct:36,skos:Concept,36,colt:bijlageypes,,andere,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:31,skos:Concept,31,colt:bijlageypes,,Andere archeologie,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:BOD5,skos:Concept,BOD5,colt:bijlageypes,,archeologische opgraving,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:BOD4,skos:Concept,BOD4,colt:bijlageypes,,archeologische prospectie,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:9,skos:Concept,9,colt:bijlageypes,,attest opvulling put,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:33,skos:Concept,33,colt:bijlageypes,,Bemalingsstudie,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:20,skos:Concept,20,colt:bijlageypes,,BGD-scan,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:19,skos:Concept,19,colt:bijlageypes,,BGD-txt,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:BOD11,skos:Concept,BOD11,colt:bijlageypes,,bodemexcursiegids,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:BOD7,skos:Concept,BOD7,colt:bijlageypes,,bodemobservaties,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:BOD6,skos:Concept,BOD6,colt:bijlageypes,,bodemprofielbeschrijving,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
ct:8,skos:Concept,8,colt:bijlageypes,,boorgatmeting,,,,,,,,,,,,,cs:bijlagetype,,,,,,,cs:bijlagetype
