uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,seeAlso
conceptscheme:bijlagetype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.bijlagetype,,,Codelijst bijlagetype.,,,,,,,Lijst van types bijlagen.,,,,,,,,,,,,,,
collectie:bijlagetype,be.vlaanderen.bodemenondergrond.data.id.collection.bijlagetype.bijlagetype,,bijlagetype,Collectie van bijlagetype.,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,,
concept:36,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.36,collectie:bijlagetype,36,andere,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:31,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.31,collectie:bijlagetype,31,Andere archeologie,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:BOD5,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.BOD5,collectie:bijlagetype,BOD5,archeologische opgraving,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:BOD4,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.BOD4,collectie:bijlagetype,BOD4,archeologische prospectie,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:9,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.9,collectie:bijlagetype,9,attest opvulling put,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:33,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.33,collectie:bijlagetype,33,Bemalingsstudie,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:20,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.20,collectie:bijlagetype,20,BGD-scan,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:19,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.19,collectie:bijlagetype,19,BGD-txt,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:BOD11,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.BOD11,collectie:bijlagetype,BOD11,bodemexcursiegids,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:BOD7,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.BOD7,collectie:bijlagetype,BOD7,bodemobservaties,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:BOD6,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.BOD6,collectie:bijlagetype,BOD6,bodemprofielbeschrijving,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:8,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.8,collectie:bijlagetype,8,boorgatmeting,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:12,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.12,collectie:bijlagetype,12,boorrapport,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE4,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE4,collectie:bijlagetype,CTE4,CTE-dieptedetectie,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE3,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE3,collectie:bijlagetype,CTE3,CTE-oppervlaktedetectie,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE5,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE5,collectie:bijlagetype,CTE5,CTE-opsporen van CTE,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE7,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE7,collectie:bijlagetype,CTE7,CTE-pers,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE2,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE2,collectie:bijlagetype,CTE2,CTE-probleemanalyse,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE6,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE6,collectie:bijlagetype,CTE6,CTE-toevalsvondsten,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:CTE1,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.CTE1,collectie:bijlagetype,CTE1,CTE-vooronderzoek,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:30,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.30,collectie:bijlagetype,30,Data aardkundig profiel,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
concept:35,be.vlaanderen.bodemenondergrond.data.id.concept.bijlagetype.35,collectie:bijlagetype,35,detailplan,,,,,,,,,,,,,conceptscheme:bijlagetype,,,,,,,conceptscheme:bijlagetype,
